,relative_path,size_bytes,extension
1397,config.storage/.storage/core.entity_registry,2943381,.entity_registry
1390,config.storage/.storage/core.label_registry,42200,.label_registry
1415,config.storage/.storage/core.logger,96,.logger
1409,config.storage/.storage/core.restore_state,604440,.restore_state
1412,config.storage/.storage/core.uuid,126,.uuid
1398,config.storage/.storage/frontend.user_data_e6011cb4a19340acbd7b2552a60f33db,383,.user_data_e6011cb4a19340acbd7b2552a60f33db
1403,config.storage/.storage/hacs.critical,277,.critical
1419,config.storage/.storage/hacs.data,242411,.data
1402,config.storage/.storage/hacs.hacs,177,.hacs
1418,config.storage/.storage/hacs.repositories,1161115,.repositories
1416,config.storage/.storage/hassio,285,
1411,config.storage/.storage/homeassistant.exposed_entities,268196,.exposed_entities
1422,config.storage/.storage/http,356,
1392,config.storage/.storage/http.auth,134,.auth
1395,config.storage/.storage/image,7031,
1413,config.storage/.storage/input_boolean,6105,
1421,config.storage/.storage/lovelace.dashboard_theia,53854,.dashboard_theia
1414,config.storage/.storage/lovelace.map,154,.map
1399,config.storage/.storage/lovelace_dashboards,316,
1420,config.storage/.storage/mobile_app,180,
1393,config.storage/.storage/onboarding,174,
1401,config.storage/.storage/repairs.issue_registry,38772,.issue_registry
1394,config.storage/.storage/trace.saved_traces,213607,.saved_traces
0,core.config_entries/core.config_entries,61669,.config_entries
17,core/._core,175,
18,core/core/config/._motion_timeout_configuration.yaml,219,.yaml
19,core/core/config/motion_timeout_configuration.yaml,3453,.yaml
31,core/core/registry/._alpha_light_registry.json,389,.json
35,core/core/registry/._alpha_sensor_registry.json,389,.json
24,core/core/registry/._alpha_sensor_registry_non-normalized.json,389,.json
28,core/core/registry/._alpha_system_registry.json,389,.json
22,core/core/registry/._device_groups.json,479,.json
33,core/core/registry/._omega_device_registry.json,219,.json
26,core/core/registry/._omega_room_registry.json,219,.json
32,core/core/registry/alpha_light_registry.json,109016,.json
36,core/core/registry/alpha_sensor_registry.json,82910,.json
30,core/core/registry/alpha_sensor_registry.json.tar.gz,7063,.gz
